Família;Produtos;Descrição;Qtd Varejo Reg/Nac;VENDAS EM SP;Participação SP no Varejo
EP;UD265;RALADOR / FATIADOR 6 EM 1 DOBRAVEL UPHOME   ;1;0;0,0%
EP;CE118;;1;0;0,0%
AC;AWE81US;;1;0;0,0%
SO;PH369;;1;0;0,0%
DC;DJI1034;Hub de carregamento DJI Mini 2 (DJI Mini 4K/DJI Mini 2/DJI Mini 2 SE/DJI Mini SE)   ;1;1;100,0%
PR;PR10396;;1;0;0,0%
PR;PR10124;;1;0;0,0%
AC;RC2101900100R3U;SUPORTE DE CARREGAMENTO RAZER PARA CONTROLE PLAYSTATION 5 - (BRANCO)   ;1;0;0,0%
AC;TC248;TECLADO WARRIOR DUNKY MECANICO SWITCH BLUE - LED RAINBOW - COM FIO   ;1;0;0,0%
ED;C77SHP-3S;Cuisinart Afiador de Facas Dobrável 3 em 1   ;1;0;0,0%
WN;EM512I;;1;0;0,0%
EP;EB037;;1;0;0,0%
DC;DJI133;Estabilizador DJI RS 4 Mini BR   ;1;0;0,0%
ED;GR-102BRB;Cuisinart Griddler Compacto Inox 220V   ;1;0;0,0%
SO;SP503;PULSE FLAMEBOX 800W RMS BT/AUX/FM/SD LED   ;1;0;0,0%
EP;HO456;;1;1;100,0%
DC;DJI1032;Carregador USB-C DJI 100W   ;1;1;100,0%
DC;DJI044;;1;0;0,0%
AC;WI238;;1;0;0,0%
AC;TC315;TECLADO LEGACY MEMBRANA COM FIO PRETO   ;1;0;0,0%
EP;BE016;;1;0;0,0%
AC;AC275;;1;0;0,0%
AC;CB142;;1;0;0,0%
DC;DJI138;Microfone DJI Mic 3 (2 TX Microfone + 1 RX Receptor + 1 Case de carregamento) BR   ;1;0;0,0%
NB;NB316;;1;0;0,0%
DC;DJI118;Estabilizador DJI RS 4 Combo BR   ;1;0;0,0%
AC;CVR617T;;1;0;0,0%
AC;RZ1905050100;;1;0;0,0%
AC;WI454;CABO USBC LIGHTNING S/MFI 1.2M (IPHONE)   ;1;0;0,0%
BR;BR2290;1:32 RACING CONTROL COMPACT TURBO - AZUL E VERMELHO   ;1;0;0,0%
TE;P9173;;1;0;0,0%
TE;P9158;;1;0;0,0%
VT;TB002;TELA TOSHIBA QLED 65 POL. 65M550KB QUANTUM DOT 4K SMART VIDAA   ;1;0;0,0%
AC;RZ0602800100R3X;;1;0;0,0%
AC;RZ8302550100X;;1;0;0,0%
AC;RZ0105120100;;1;0;0,0%
ED;CTG-00-SMP;Cuisinart Conjunto de Colheres Medidoras em Aço Inox   ;1;0;0,0%
ED;C77SS-5SUT;Cuisinart Faca Graphix Utilitária Serrilhada   ;1;0;0,0%
ED;C77SS-CLV;Cuisinart Cutelo Graphix   ;1;0;0,0%
ED;CNP-650;Cuisinart Chapa Grelhadora Antiaderente para Churrasqueira   ;1;0;0,0%
ED;CGS-W13;Cuisinart Jogo de Utensílios para Churrasco com 13 Peças em Aço Inox e Estojo   ;1;0;0,0%
DC;DJI311;Tripe estacao movel D RTK 2 DJI   ;1;0;0,0%
EP;UD349;PORTA-JOIAS MADEIRA COM ESPELHO UPHOME   ;1;0;0,0%
DC;DJI1028;Controle Remoto com tela DJI RC 2 (DJI Neo/Flip/Mini 4 Pro/Mini 5 Pro/Air 3/Air 3S/Mavic 4 Pro) BR   ;1;0;0,0%
NB;NB404;TABLET PATRULHA CANINA SKYE   ;1;0;0,0%
NB;2021;;1;0;0,0%
NB;NB367;;1;0;0,0%
NB;NB371;TABLET AVENGERS   ;1;0;0,0%
AC;CB165;;1;0;0,0%
BR;BR1403;;1;1;100,0%
BR;BR2188;;1;1;100,0%
BR;BR1794;JOGO PORQUINHO COMILÃO   ;1;1;100,0%
BR;BR1926;;1;1;100,0%
EP;HO097;;1;0;0,0%
AC;WI290;;1;0;0,0%
AC;WI347;CONVERSOR ADAPTADOR USB 3.0 PARA HDMI FULL HD   ;1;0;0,0%
EP;UD368;ESPELHO PENA 47CM UPHOME   ;1;0;0,0%
BR;BR1460;CUBIC CARRO DE POLICIA 284 PEÇAS   ;1;0;0,0%
BR;BR1431;HOT WHEELS CARRO TURBO COM LUZ E SOM   ;1;0;0,0%
BR;BR1432;HOT WHEELS CARRO ALTO-FALANTE COM LUZ E SOM   ;1;0;0,0%
BR;BR1646;EVOLUTION CAR R/C TORSIONAL - VERMELHO   ;1;0;0,0%
AC;MR009;Pincel Marcador De Quadro Branco Easy Preto Keep Caixa C/12 Unidades - MR009   ;1;0;0,0%
BR;BR2350;PELÚCIA STITCH CLÁSSICO C/ MECANISMO LUZ E SOM 30CM   ;1;0;0,0%
DC;DJI064;Drone DJI Mavic 4 Pro 512GB Creator Combo (Com tela e saída HDMI) BR   ;1;0;0,0%
TE;NK097;;1;1;100,0%
TE;P9149;;1;1;100,0%
EP;HO411;;1;0;0,0%
AC;SE220;;1;0;0,0%
TE;NK086;;1;1;100,0%
TE;NK120;;1;1;100,0%
EP;HO459;FERRO DE PASSAR A VAPOR VERDE 220V 1400W COM BASE CERÂMICA, BASE SALVA BOTÕES, CABO GIRATÓRIO 360° E RESERVATÓRIO COM INDICADOR DE NÍVEL, ACOMPANHA MEDIDOR   ;1;0;0,0%
WN;EM403V1;;1;0;0,0%
EP;HO066;;1;0;0,0%
EP;UD359;PORTA RETRATO BARROCO 16X16   ;1;0;0,0%
EP;UD364;PORTA RETRATO NEOCLÁSSICO 22X17 UPHOME   ;1;0;0,0%
EP;UD373;FOLHA DECORATIVA COSTELA DE ADÃO UPHOME   ;1;0;0,0%
EP;UD374;FOLHA DECORATIVA OLD LEAF UPHOME   ;1;0;0,0%
BB;BB1002;;1;0;0,0%
DC;DJI141;Estabilizador DJI RS 5 Combo BR   ;1;0;0,0%
BR;BR2168;CENTOPEIA GIRATÓRIA COM LUZ E SOM - MULTIKIDS PRIMEIRA INFÂNCIA   ;1;0;0,0%
BR;BR2423;ESMALTERIA GLAM BARBIE COM SECADOR DE UNHAS   ;1;0;0,0%
BR;BR2192;MALETA DE VIAGEM E PENTEADEIRA PRINCESAS PLAY SET 3 EM 1   ;1;0;0,0%
PG;UL214XI5DF;;1;0;0,0%
TE;P9091;;1;0;0,0%
AC;TC299;;1;0;0,0%
AC;EN065;;1;0;0,0%
AC;RZ0103850200;;1;0;0,0%
ME;PD688;;1;0;0,0%
AC;CB172;;1;0;0,0%
